name,age,heigth,weigth,salary,position,goals
Cristiano Ronaldo,37,1.87,84,31.4,delantero,111
Bernardo Silva,27,1.73,64,10.4,centrocampista,8
Ruben Dias,24,1.87,85,7.8,defensa,2
Rui Patricio,34,1.90,84,6.5,arquero,0
Joao Cancelo,27,1.82,74,12.3,defensa,3
Bruno Fernandes,27,1.79,69,10.9,centrocampista,9
Diogo Jota,25,1.78,69,8.7,delantero,9
Pepe,39,1.88,81,4.3,defensa,7
Renato Sanches,24,1.76,70,6.8,centrocampista,3
Andre Silva,26,1.85,82,7.2,delantero,16
Danilo Pereira,30,1.88,83,6.1,centrocampista,3
