name,age,heigth,weigth,salary,position,goals
Alireza Beiranvand,29,1.94,85,1.5,arquero,0
Ramin Rezaeian,31,1.78,69,1.2,defensa,2
Morteza Pouraliganji,30,1.90,85,1.2,defensa,2
Milad Mohammadi,28,1.80,75,1.2,defensa,0
Ehsan Hajsafi,32,1.78,70,1.3,centrocampista,6
Saeid Ezatolahi,24,1.88,79,0.9,centrocampista,2
Omid Ebrahimi,34,1.85,80,1,centrocampista,2
Karim Ansarifard,31,1.85,78,1.5,delantero,17
Sardar Azmoun,26,1.86,76,2,delantero,37
Mehdi Taremi,29,1.87,76,2.5,delantero,26
Sam Jalali,25,1.80,74,0.5,defensa,0
