name,age,heigth,weigth,salary,position,goals
Anton Shunin,35,1.90,90,1.2,arquero,0
Mário Fernandes,31,1.87,82,3.6,defensa,2
Igor Diveev,22,1.93,85,0.3,defensa,1
Giorgi Jikia,28,1.86,80,1.8,defensa,2
Andrei Semyonov,31,1.90,84,1.2,defensa,0
Yuri Zhirkov,37,1.80,75,1.5,defensa,2
Daler Kuzyaev,28,1.80,70,1.8,centrocampista,3
Magomed Ozdoev,28,1.79,71,1.8,centrocampista,2
Rifat Zhemaletdinov,23,1.75,68,0.5,centrocampista,1
Artem Dzyuba,33,1.96,90,4.5,delantero,12
Alexsandr Sobolev,24,1.91,80,2.2,delantero,5
