name,age,heigth,weigth,salary,position,goals
Gianluigi Donnarumma,22,1.96,90,6.5,arquero,0
Leonardo Bonucci,34,1.9,85,4.5,defensa,10
Giorgio Chiellini,37,1.87,85,3.5,defensa,10
Alessandro Florenzi,30,1.73,65,3.5,centrocampista,10
Marco Verratti,29,1.65,60,6.5,centrocampista,10
Lorenzo Insigne,30,1.63,59,5.5,delantero,10
Federico Chiesa,24,1.75,68,4.5,delantero,10
Ciro Immobile,31,1.85,78,5.5,delantero,10
Nicolo Barella,25,1.72,68,4.5,centrocampista,10
Jorginho,30,1.8,68,6.5,centrocampista,10
Leonardo Spinazzola,29,1.82,75,3.5,defensa,10
