name,age,heigth,weigth,salary,position,goals
Harry Kane,28,1.88,89,12.5,delantero,165
Raheem Sterling,26,1.70,69,15,delantero,82
Jordan Henderson,31,1.82,80,8.3,centrocampista,30
Jack Grealish,25,1.75,69,10,centrocampista,17
Trent Alexander-Arnold,23,1.75,69,8.3,defensa,10
Harry Maguire,28,1.94,100,9.3,defensa,6
Kyle Walker,31,1.83,70,9.3,defensa,4
John Stones,27,1.88,70,8.3,defensa,2
Kieran Trippier,31,1.78,70,6.3,defensa,1
Jordan Pickford,27,1.85,77,7.5,arquero,0
Declan Rice,22,1.85,76,7.5,centrocampista,3
