name,age,heigth,weigth,salary,position,goals
Asmir Begovic,34,1.98,94,1.5,arquero,0
Sead Kolasinac,28,1.83,84,3.5,defensa,3
Edin Cocalic,35,1.85,82,1.2,defensa,0
Ermin Bicakcic,31,1.88,85,1.8,defensa,0
Toni Sunjic,33,1.90,88,1.5,defensa,1
Miralem Pjanic,31,1.80,72,6.5,centrocampista,14
Muhamed Besic,29,1.80,74,2.5,centrocampista,2
Rade Krunic,28,1.82,75,3.0,centrocampista,1
Edin Visca,31,1.79,73,5.0,centrocampista,15
Armin Hodzic,26,1.87,85,2.2,delantero,2
Edin Dzeko,35,1.93,84,7.0,delantero,59
