name,age,heigth,weigth,salary,position,goals
Luis Suarez,35,1.82,86,20,delantero,64
Edinson Cavani,34,1.84,80,15,delantero,51
Diego Godin,35,1.87,78,10,defensa,8
Jose Gimenez,27,1.85,77,8,defensa,8
Rodrigo Bentancur,24,1.87,72,6,centrocampista,3
Federico Valverde,23,1.82,78,5,centrocampista,5
Nahitan Nandez,26,1.72,64,4,centrocampista,3
Matias Vecino,30,1.88,80,4,centrocampista,4
Martin Caceres,34,1.78,75,3,defensa,4
Martin Silva,38,1.88,87,2,arquero,0
Gaston Pereiro,26,1.85,76,2,centrocampista,2
