name,age,heigth,weigth,salary,position,goals
Riyad Mahrez,30,1.79,67,10.4,delantero,39
Sofiane Feghouli,31,1.8,75,3.9,centrocampista,16
Yacine Brahimi,31,1.77,64,4.4,centrocampista,11
Islam Slimani,33,1.88,85,2.9,delantero,30
Aissa Mandi,30,1.86,80,3.5,defensa,7
Ramy Bensebaini,26,1.87,78,3.8,defensa,5
Djamel Benlamri,31,1.87,83,2.6,defensa,2
Amine Guedioura,35,1.88,78,2.2,centrocampista,8
Saphir Taider,29,1.82,75,3.1,centrocampista,9
Rais M'Bolhi,35,1.83,82,1.8,arquero,0
Baghdad Bounedjah,29,1.77,71,3.4,delantero,25
