name,age,heigth,weigth,salary,position,goals
Andre Onana,25,1.90,82,6.5,arquero,0
Joel Matip,30,1.95,90,8.5,defensa,9
Allan Nyom,33,1.80,75,3.2,defensa,1
Pierre Kunde Malong,26,1.75,70,2.7,centrocampista,2
Christian Bassogog,26,1.77,72,5.0,delantero,8
Clinton N'Jie,28,1.75,69,4.2,delantero,10
Karl Toko Ekambi,29,1.83,76,7.0,delantero,18
Eric Maxim Choupo-Moting,32,1.91,86,6.8,delantero,16
Vincent Aboubakar,29,1.85,84,7.5,delantero,22
Michael Ngadeu-Ngadjui,31,1.87,82,4.9,defensa,5
Amadou Diawara,24,1.84,75,5.3,centrocampista,3
