name,age,heigth,weigth,salary,position,goals
Thibaut Courtois,29,1.99,96,9.36,arquero,0
Toby Alderweireld,32,1.86,81,5.2,defensa,5
Jan Vertonghen,34,1.89,86,4.16,defensa,9
Thomas Vermaelen,36,1.83,75,1.56,defensa,2
Axel Witsel,33,1.86,81,4.16,centrocampista,10
Kevin De Bruyne,30,1.81,70,20.8,centrocampista,23
Eden Hazard,31,1.75,74,19.5,centrocampista,32
Romelu Lukaku,29,1.91,94,33.8,delantero,64
Dries Mertens,34,1.69,61,7.8,delantero,22
Yannick Carrasco,29,1.81,75,7.8,delantero,10
Thorgan Hazard,28,1.76,76,9.36,delantero,9
