name,age,heigth,weigth,salary,position,goals
Giannis Manolas,28,1.89,85,3.2,defensa,5
Kostas Samaras,30,1.91,82,2.5,delantero,12
Dimitris Katsouranis,36,1.84,77,1.8,centrocampista,8
Vasilis Torosidis,32,1.85,81,2.1,defensa,3
Sokratis Papastathopoulos,30,1.86,85,3.5,defensa,7
Kostas Katsouranis,39,1.82,79,1.2,centrocampista,4
Andreas Samaris,29,1.87,83,2.7,centrocampista,6
Kostas Mitroglou,30,1.88,89,3.8,delantero,9
Panagiotis Kone,31,1.80,76,1.5,centrocampista,2
Orestis Karnezis,33,1.92,88,2.3,arquero,0
Lazaros Christodoulopoulos,31,1.77,75,1.4,centrocampista,3
