name,age,heigth,weigth,salary,position,goals
Jasper Cillessen,34,1.85,85,2.5,arquero,0
Matthijs de Ligt,24,1.89,89,8,defensa,7
Virgil van Dijk,32,1.93,92,10,defensa,9
Stefan de Vrij,30,1.89,78,6,defensa,3
Denzel Dumfries,26,1.82,71,3.5,defensa,2
Georginio Wijnaldum,32,1.75,69,7,centrocampista,5
Frenkie de Jong,25,1.80,74,9,centrocampista,4
Memphis Depay,29,1.76,78,12,delantero,11
Steven Berghuis,30,1.86,80,4.5,delantero,8
Donyell Malen,23,1.85,76,5,delantero,6
Luuk de Jong,31,1.88,85,4,delantero,10
