name,age,heigth,weigth,salary,position,goals
Hugo Lloris,35,1.88,78,9.6,arquero,0
Benjamin Pavard,25,1.86,76,4.8,defensa,2
Raphael Varane,28,1.91,81,9.6,defensa,5
Presnel Kimpembe,26,1.89,80,4,defensa,0
Lucas Hernandez,26,1.82,74,7.2,defensa,2
N'Golo Kante,30,1.68,70,9.6,centrocampista,3
Paul Pogba,28,1.91,84,19.2,centrocampista,10
Antoine Griezmann,30,1.76,73,19.2,delantero,37
Kylian Mbappe,23,1.78,73,24,delantero,17
Karim Benzema,34,1.85,81,19.2,delantero,27
Olivier Giroud,35,1.92,93,5.6,delantero,46
