name,age,heigth,weigth,salary,position,goals
Luka Modric,37,1.72m,66kg,10.5,centrocampista,17
Ivan Rakitic,36,1.84m,78kg,8.5,centrocampista,15
Mario Mandzukic,38,1.90m,85kg,7.2,delantero,20
Dejan Lovren,34,1.88m,84kg,6.8,defensa,5
Sime Vrsaljko,32,1.82m,76kg,5.9,defensa,2
Marcelo Brozovic,30,1.81m,74kg,5.2,centrocampista,12
Andrej Kramaric,32,1.77m,73kg,4.6,delantero,18
Domagoj Vida,33,1.83m,78kg,4.1,defensa,7
Josip Brekalo,24,1.80m,75kg,3.7,delantero,10
Nikola Vlasic,25,1.81m,77kg,3.3,centrocampista,9
Lovro Majer,24,1.78m,72kg,2.9,centrocampista,6
