name,age,heigth,weigth,salary,position,goals
Alexis Sanchez,33,1.69,62,7.2,delantero,46
Arturo Vidal,34,1.80,75,5.5,centrocampista,34
Gary Medel,34,1.71,73,2.5,defensa,7
Claudio Bravo,39,1.84,85,1.5,arquero,0
Eduardo Vargas,31,1.75,73,4.2,delantero,38
Charles Aranguiz,32,1.71,65,3.8,centrocampista,8
Mauricio Isla,33,1.76,75,2.5,defensa,4
Jean Beausejour,37,1.83,77,1.8,defensa,6
Erick Pulgar,27,1.87,82,2.3,centrocampista,5
Guillermo Maripan,27,1.93,82,2.7,defensa,3
Gabriel Arias,34,1.85,80,2.0,arquero,0
