name,age,heigth,weigth,salary,position,goals
Lionel Messi,34,1.70,72,126,delantero,672
Paulo Dybala,28,1.77,75,110,delantero,100
Sergio Aguero,33,1.73,70,90,delantero,189
Angel Di Maria,33,1.80,75,80,centrocampista,83
Giovani Lo Celso,25,1.77,73,70,centrocampista,11
Rodrigo De Paul,27,1.80,74,60,centrocampista,12
Emiliano Martinez,29,1.94,94,50,arquero,0
Nicolas Otamendi,33,1.83,81,40,defensa,11
Cristian Romero,23,1.85,81,30,defensa,3
Nahuel Molina,24,1.80,75,20,defensa,0
German Pezzella,30,1.88,81,15,defensa,2
